frequency;V(/Sc1-) (phase);V(/Sc1-) (gain);V(/Sc2-) (phase);V(/Sc2-) (gain);
2238.72;-0.651601;-13.9605;-0.76521;0.000188854;
2304.09;-0.670617;-13.9605;-0.787537;0.000176884;
2371.37;-0.690189;-13.9605;-0.810515;0.000164247;
2440.62;-0.710333;-13.9605;-0.834166;0.000150903;
2511.89;-0.731066;-13.9605;-0.858507;0.000136807;
2585.23;-0.752404;-13.9605;-0.883559;0.000121913;
2660.73;-0.774365;-13.9605;-0.909344;0.000106172;
2738.42;-0.796968;-13.9605;-0.935881;8.95308e-05;
2818.38;-0.820232;-13.9605;-0.963194;7.19352e-05;
2900.68;-0.844174;-13.9605;-0.991305;5.33266e-05;
2985.38;-0.868817;-13.9605;-1.02024;3.36437e-05;
3072.56;-0.894179;-13.9605;-1.05001;1.2821e-05;
3162.28;-0.920282;-13.9605;-1.08066;-9.21016e-06;
3254.62;-0.947147;-13.9605;-1.1122;-3.25229e-05;
3349.65;-0.974798;-13.9605;-1.14467;-5.71944e-05;
3447.47;-1.00326;-13.9605;-1.17808;-8.33063e-05;
3548.13;-1.03254;-13.9605;-1.21247;-0.000110945;
3651.74;-1.06269;-13.9605;-1.24786;-0.000140203;
3758.37;-1.09371;-13.9605;-1.28429;-0.000171175;
3868.12;-1.12565;-13.9605;-1.32178;-0.000203966;
3981.07;-1.15851;-13.9606;-1.36036;-0.000238684;
4097.32;-1.19233;-13.9606;-1.40007;-0.000275443;
4216.97;-1.22715;-13.9606;-1.44095;-0.000314366;
4340.1;-1.26298;-13.9606;-1.48301;-0.000355581;
4466.84;-1.29985;-13.9606;-1.5263;-0.000399225;
4597.27;-1.3378;-13.9606;-1.57086;-0.000445443;
4731.51;-1.37686;-13.9606;-1.61672;-0.000494387;
4869.68;-1.41707;-13.9606;-1.66392;-0.000546221;
5011.87;-1.45844;-13.9606;-1.7125;-0.000601115;
5158.22;-1.50103;-13.9606;-1.76249;-0.000659251;
5308.84;-1.54486;-13.9607;-1.81395;-0.000720822;
5463.87;-1.58997;-13.9607;-1.86691;-0.000786033;
5623.41;-1.63639;-13.9607;-1.92141;-0.000855098;
5787.62;-1.68417;-13.9607;-1.97751;-0.000928247;
