frequency,V(/Sc1-) (phase),V(/Sc1-) (gain),V(/Sc2-) (phase),V(/Sc2-) (gain),Column1,,,,
2.1752,-0.000642784,-0.004038731,-0.000759641,0.000730873,-0.001856665,,13.66718468,-1.12187E-05,-8.20826E-07
2.23872,-0.000661554,-0.004156666,-0.000781823,0.000730872,-0.001856793,,14.06629261,-1.15463E-05,-8.20883E-07
2.30409,-0.000680872,-0.004278045,-0.000804652,0.000730871,-0.001856752,,14.47702443,-1.18835E-05,-8.20865E-07
2.37137,-0.000700754,-0.004402967,-0.000828148,0.00073087,-0.001856557,,14.89975714,-1.22305E-05,-8.20778E-07
2.44062,-0.000721216,-0.004531534,-0.000852331,0.000730869,-0.001856656,,15.33486772,-1.25876E-05,-8.20822E-07
2.51189,-0.000742276,-0.004663858,-0.000877219,0.000730867,-0.001856941,,15.78267034,-1.29552E-05,-8.20948E-07
2.58523,-0.000763951,-0.004800046,-0.000902834,0.000730866,-0.001856411,,16.24347915,-1.33335E-05,-8.20714E-07
2.66073,-0.000786258,-0.004940205,-0.000929197,0.000730864,-0.001856811,,16.71785964,-1.37228E-05,-8.20891E-07
2.73842,-0.000809217,-0.00508446,-0.00095633,0.000730863,-0.001856824,,17.20600031,-1.41235E-05,-8.20897E-07
2.81838,-0.000832847,-0.005232932,-0.000984256,0.000730861,-0.001856632,,17.70840381,-1.45359E-05,-8.20811E-07
2.90068,-0.000857166,-0.005385733,-0.001013,0.000730859,-0.001856767,,18.22550996,-1.49604E-05,-8.20871E-07
2.98538,-0.000882196,-0.005543001,-0.00104258,0.000730857,-0.001856632,,18.75769575,-1.53972E-05,-8.20811E-07
3.07256,-0.000907957,-0.005704862,-0.00107302,0.000730855,-0.001856663,,19.30546385,-1.58468E-05,-8.20825E-07
3.16228,-0.000934469,-0.005871442,-0.00110435,0.000730853,-0.001856717,,19.86919123,-1.63096E-05,-8.20849E-07
3.25462,-0.000961756,-0.006042891,-0.0011366,0.000730851,-0.001856855,,20.44938056,-1.67858E-05,-8.2091E-07
3.34965,-0.00098984,-0.006219348,-0.00116979,0.000730849,-0.001856308,,21.04647166,-1.7276E-05,-8.20668E-07
3.44747,-0.00101874,-0.006400932,-0.00120395,0.000730846,-0.001856991,,21.66109285,-1.77804E-05,-8.2097E-07
3.54813,-0.00104849,-0.006587857,-0.0012391,0.000730843,-0.001856878,,22.29355828,-1.82996E-05,-8.2092E-07
3.65174,-0.00107911,-0.006780248,-0.00127529,0.000730841,-0.00185673,,22.94455911,-1.8834E-05,-8.20855E-07
3.75837,-0.00111062,-0.006978231,-0.00131252,0.000730838,-0.001856617,,23.61453516,-1.9384E-05,-8.20805E-07
3.86812,-0.00114305,-0.007181995,-0.00135085,0.000730834,-0.001856863,,24.30411475,-1.995E-05,-8.20914E-07
3.98107,-0.00117643,-0.007391728,-0.0013903,0.000730831,-0.00185658,,25.01380053,-2.05326E-05,-8.20789E-07
4.09732,-0.00121078,-0.007607555,-0.00143089,0.000730827,-0.001856336,,25.74422082,-2.11321E-05,-8.20681E-07
4.21697,-0.00124613,-0.007829666,-0.00147268,0.000730824,-0.001856941,,26.49600394,-2.17491E-05,-8.20948E-07
4.3401,-0.00128252,-0.008058311,-0.00151568,0.00073082,-0.001856598,,27.26965255,-2.23842E-05,-8.20797E-07
4.46684,-0.00131997,-0.008293616,-0.00155994,0.000730815,-0.001856582,,28.06598346,-2.30378E-05,-8.20789E-07
4.59727,-0.00135851,-0.00853577,-0.00160549,0.000730811,-0.001856779,,28.88549932,-2.37105E-05,-8.20876E-07
4.73151,-0.00139818,-0.008785024,-0.00165237,0.000730806,-0.001856716,,29.72895411,-2.44028E-05,-8.20849E-07
4.86968,-0.00143901,-0.009041566,-0.00170062,0.000730801,-0.001856807,,30.59710183,-2.51155E-05,-8.20889E-07
5.01187,-0.00148103,-0.009305586,-0.00175027,0.000730796,-0.001856835,,31.49050795,-2.58488E-05,-8.20901E-07
5.15822,-0.00152428,-0.009577334,-0.00180138,0.00073079,-0.001856756,,32.41005212,-2.66037E-05,-8.20866E-07
5.30884,-0.00156879,-0.009856998,-0.00185398,0.000730784,-0.001856221,,33.35642549,-2.73806E-05,-8.2063E-07
5.46387,-0.00161459,-0.010144768,-0.00190812,0.000730778,-0.001856915,,34.3305077,-2.81799E-05,-8.20937E-07
5.62341,-0.00166174,-0.01044102,-0.00196384,0.000730771,-0.001856526,,35.33292709,-2.90028E-05,-8.20765E-07
5.78762,-0.00171026,-0.010745881,-0.00202118,0.000730764,-0.0018567,,36.36468895,-2.98497E-05,-8.20842E-07
5.95662,-0.0017602,-0.011059663,-0.0020802,0.000730756,-0.001856708,,37.42654726,-3.07213E-05,-8.20845E-07
6.13056,-0.0018116,-0.011382619,-0.00214094,0.000730748,-0.001856771,,38.51944452,-3.16184E-05,-8.20873E-07
6.30957,-0.0018645,-0.011714999,-0.00220346,0.00073074,-0.001856822,,39.64419752,-3.25417E-05,-8.20896E-07
6.49382,-0.00191895,-0.012057118,-0.0022678,0.000730731,-0.001856591,,40.80187441,-3.3492E-05,-8.20794E-07
6.68344,-0.00197498,-0.012409165,-0.00233402,0.000730722,-0.001856688,,41.99329201,-3.44699E-05,-8.20836E-07
6.8786,-0.00203265,-0.012771517,-0.00240217,0.000730711,-0.001856552,,43.21951845,-3.54764E-05,-8.20776E-07
7.07946,-0.002092,-0.013144424,-0.00247231,0.000730701,-0.00185681,,44.48155905,-3.65123E-05,-8.2089E-07
7.28618,-0.00215309,-0.013528263,-0.00254451,0.00073069,-0.001856664,,45.78041912,-3.75785E-05,-8.20826E-07
7.49894,-0.00221596,-0.013923287,-0.0026188,0.000730678,-0.001856435,,47.11722963,-3.86758E-05,-8.20724E-07
7.71792,-0.00228066,-0.014329809,-0.00269527,0.000730665,-0.001856852,,48.49312155,-3.9805E-05,-8.20909E-07
7.94328,-0.00234726,-0.01474827,-0.00277397,0.000730652,-0.001856648,,49.90910019,-4.09674E-05,-8.20819E-07
8.17523,-0.0024158,-0.015178919,-0.00285497,0.000730637,-0.001856635,,51.36648502,-4.21637E-05,-8.20813E-07
8.41395,-0.00248634,-0.015622135,-0.00293834,0.000730622,-0.001856646,,52.86640702,-4.33948E-05,-8.20818E-07
8.65964,-0.00255894,-0.016078294,-0.00302413,0.000730606,-0.001856605,,54.41012281,-4.46619E-05,-8.20799E-07
8.91251,-0.00263366,-0.016547774,-0.00311244,0.00073059,-0.001856588,,55.99895188,-4.5966E-05,-8.20792E-07
9.17276,-0.00271056,-0.017030951,-0.00320332,0.000730572,-0.001856689,,57.63415086,-4.73082E-05,-8.20837E-07
9.44061,-0.00278971,-0.017528265,-0.00329685,0.000730553,-0.00185667,,59.31710204,-4.86896E-05,-8.20828E-07
9.71628,-0.00287117,-0.018040093,-0.00339312,0.000730533,-0.001856698,,61.04918774,-5.01114E-05,-8.20841E-07
10,-0.00295501,-0.018566875,-0.0034922,0.000730512,-0.001856552,,62.83185307,-5.15747E-05,-8.20776E-07
10.292,-0.00304129,-0.019108989,-0.00359416,0.000730489,-0.001856937,,64.66654318,-5.30805E-05,-8.20947E-07
10.5925,-0.0031301,-0.019666998,-0.00369911,0.000730465,-0.001856516,,66.55464037,-5.46306E-05,-8.2076E-07
10.9018,-0.00322149,-0.020241219,-0.00380712,0.00073044,-0.001856342,,68.49802958,-5.62256E-05,-8.20683E-07
11.2202,-0.00331556,-0.020832278,-0.00391828,0.000730413,-0.001856762,,70.49859578,-5.78674E-05,-8.20869E-07
11.5478,-0.00341237,-0.021440553,-0.00403269,0.000730385,-0.001856633,,72.55696729,-5.95571E-05,-8.20812E-07
11.885,-0.00351201,-0.02206661,-0.00415044,0.000730355,-0.001856355,,74.67565738,-6.12961E-05,-8.20689E-07
12.2321,-0.00361456,-0.02271095,-0.00427163,0.000730323,-0.00185646,,76.856551,-6.3086E-05,-8.20735E-07
12.5893,-0.0037201,-0.023374078,-0.00439635,0.00073029,-0.001856582,,79.10090479,-6.4928E-05,-8.2079E-07
